Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Netherlands,Jim  Clark ,Lotus Climax,1:30.600,CLA,NED,52.3888,4.5409
Germany,Jim  Clark ,Lotus Climax,8:24.100,CLA,DEU,49.3276,8.5625
Italy,Jim  Clark ,Lotus Climax,1:36.400,CLA,ITA,44.3406,11.7161
United States,Graham  Hill ,BRM,1:11.900,HIL,USA,30.1328,-97.6411
Mexico,Dan  Gurney ,Brabham Climax,1:55.840,GUR,MEX,19.4042,-99.0907
Monaco,Lorenzo  Bandini ,Ferrari,1:29.800,BAN,MON,43.7347,7.4206
Belgium,John  Surtees ,Ferrari,4:18.700,SUR,BEL,50.4372,5.9714
France,Lorenzo  Bandini ,Ferrari,2:11.300,BAN,FRA,43.2509,5.7901
Great Britain,Jack  Brabham ,Brabham Climax,1:37.000,BRA,GBR,52.0786,-1.0169
Netherlands,Denny  Hulme ,Brabham Climax,1:30.600,HUL,NED,52.3888,4.5409
Germany,John  Surtees ,Cooper Maserati,8:49.000,SUR,DEU,49.3276,8.5625
Italy,Ludovico  Scarfiotti ,Ferrari,1:32.400,SCA,ITA,44.3406,11.7161
United States,John  Surtees ,Cooper Maserati,1:09.670,SUR,USA,30.1328,-97.6411
Mexico,Richie  Ginther ,Honda,1:53.750,GIN,MEX,19.4042,-99.0907
South Africa,Denny  Hulme ,Brabham Repco,1:29.900,HUL,ZAF,-26.2474,27.8477
Monaco,Jim  Clark ,Lotus Climax,1:29.500,CLA,MON,43.7347,7.4206
Netherlands,Jim  Clark ,Lotus Climax,1:28.080,CLA,NED,52.3888,4.5409
Belgium,Dan  Gurney ,Eagle Climax,3:31.900,GUR,BEL,50.4372,5.9714
France,Graham  Hill ,Lotus Climax,1:36.700,HIL,FRA,43.2509,5.7901
Great Britain,Denny  Hulme ,Brabham Repco,1:27.000,HUL,GBR,52.0786,-1.0169
Germany,Dan  Gurney ,Eagle Climax,8:15.100,GUR,DEU,49.3276,8.5625
Canada,Jim  Clark ,Lotus Climax,1:23.100,CLA,CAN,45.5049,-73.5262
Italy,Jim  Clark ,Lotus Climax,1:28.500,CLA,ITA,44.3406,11.7161
United States,Graham  Hill ,Lotus Climax,1:06.000,HIL,USA,30.1328,-97.6411
Mexico,Jim  Clark ,Lotus Climax,1:48.130,CLA,MEX,19.4042,-99.0907
South Africa,Jim  Clark ,Lotus Ford,1:23.700,CLA,ZAF,-26.2474,27.8477
Spain,Jean-Pierre  Beltoise ,Matra Ford,1:28.300,BEL,ESP,41.57,2.2615
Monaco,Richard  Attwood ,BRM,1:28.100,ATT,MON,43.7347,7.4206
Belgium,John  Surtees ,Honda,3:30.500,SUR,BEL,50.4372,5.9714
Netherlands,Jean-Pierre  Beltoise ,Matra Ford,1:45.910,BEL,NED,52.3888,4.5409
France,Pedro  Rodriguez ,BRM,2:11.500,ROD,FRA,43.2509,5.7901
Great Britain,Jo  Siffert ,Lotus Ford,1:29.700,SIF,GBR,52.0786,-1.0169
Germany,Jackie  Stewart ,Matra Ford,9:36.000,STE,DEU,49.3276,8.5625
Italy,Jackie  Oliver ,Lotus Ford,1:26.500,OLI,ITA,44.3406,11.7161
Canada,Jo  Siffert ,Lotus Ford,1:35.100,SIF,CAN,45.5049,-73.5262
United States,Jackie  Stewart ,Matra Ford,1:05.220,STE,USA,30.1328,-97.6411
Mexico,Jo  Siffert ,Lotus Ford,1:44.230,SIF,MEX,19.4042,-99.0907
South Africa,Jackie  Stewart ,Matra Ford,1:21.600,STE,ZAF,-26.2474,27.8477
Spain,Jochen  Rindt ,Lotus Ford,1:28.300,RIN,ESP,41.57,2.2615
Monaco,Jackie  Stewart ,Matra Ford,1:25.100,STE,MON,43.7347,7.4206
Netherlands,Jackie  Stewart ,Matra Ford,1:22.940,STE,NED,52.3888,4.5409
France,Jackie  Stewart ,Matra Ford,3:02.700,STE,FRA,43.2509,5.7901
Great Britain,Jackie  Stewart ,Matra Ford,1:21.300,STE,GBR,52.0786,-1.0169
Germany,Jacky  Ickx ,Brabham Climax,7:43.800,ICK,DEU,49.3276,8.5625
Italy,Jean-Pierre  Beltoise ,Matra Ford,1:25.200,BEL,ITA,44.3406,11.7161
Canada,Jacky  Ickx ,Brabham Climax,1:18.100,ICK,CAN,45.5049,-73.5262
United States,Jochen  Rindt ,Lotus Ford,1:04.340,RIN,USA,30.1328,-97.6411
Mexico,Jacky  Ickx ,Brabham Climax,1:43.050,ICK,MEX,19.4042,-99.0907
South Africa,John  Surtees ,McLaren Ford,1:20.800,SUR,ZAF,-26.2474,27.8477
Spain,Jack  Brabham ,Brabham Ford,1:24.300,BRA,ESP,41.57,2.2615
Monaco,Jochen  Rindt ,Lotus Ford,1:23.200,RIN,MON,43.7347,7.4206
Belgium,Chris  Amon ,March Ford,3:27.400,AMO,BEL,50.4372,5.9714
Netherlands,Jacky  Ickx ,Ferrari,1:19.230,ICK,NED,52.3888,4.5409
France,Jack  Brabham ,Brabham Ford,3:00.750,BRA,FRA,43.2509,5.7901
Great Britain,Jack  Brabham ,Brabham Ford,1:25.900,BRA,GBR,52.0786,-1.0169
Germany,Jacky  Ickx ,Ferrari,2:00.500,ICK,DEU,49.3276,8.5625
Austria,Jacky  Ickx ,Ferrari,1:40.400,ICK,AUT,47.2197,14.7646
Italy,Clay  Regazzoni ,Ferrari,1:25.200,REG,ITA,44.3406,11.7161
